"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.647895833E-2,7.012244135E-1,1.161414903E-1,9.553180933E-2
3.652595833E-2,6.956099170E-1,1.112462014E-1,-3.742218018E-2
4.657295834E-2,6.496440777E-1,7.908885419E-2,-2.222041351E-1
5.661995833E-2,5.980269045E-1,3.829750836E-2,-3.366242051E-1
6.666695833E-2,5.630348271E-1,-3.291982412E-2,-2.218258202E-1
7.671395833E-2,5.438577139E-1,-1.211046070E-1,-8.764742374E-2
8.676195833E-2,4.979142402E-1,-1.406249517E-1,-6.476493001E-2
9.680895833E-2,4.811603594E-1,-9.736023366E-2,-1.508575791E-1
1.068559583E-1,5.441765334E-1,-2.273865223E-2,-3.441858244E-1
1.169029583E-1,6.409349424E-1,3.525286317E-2,-4.197341895E-1
1.269499583E-1,7.069453293E-1,5.901419342E-2,-3.904735529E-1
1.369969583E-1,7.037467562E-1,1.392514408E-1,-4.088455045E-1
1.470439583E-1,6.469930963E-1,1.629028434E-1,-4.508887392E-1
1.570909583E-1,6.174985711E-1,1.649540466E-1,-5.019787860E-1
1.671379583E-1,6.152875927E-1,1.151778692E-1,-5.151396990E-1
1.771849583E-1,6.581115769E-1,7.358720899E-2,-5.715121204E-1
1.872319583E-1,6.470425053E-1,1.272289807E-1,-6.002605408E-1
1.972789583E-1,5.344434044E-1,3.003083181E-1,-6.443497163E-1
2.073259583E-1,5.118531252E-1,4.464960185E-1,-5.558456755E-1
2.173729583E-1,5.567259738E-1,5.061417112E-1,-5.407008022E-1
2.274199583E-1,5.640221295E-1,6.226454365E-1,-5.783381599E-1
2.374669583E-1,5.215806994E-1,7.587300253E-1,-6.191575724E-1
2.475139583E-1,4.647982420E-1,9.425898743E-1,-8.475872380E-1
2.575609583E-1,4.063918667E-1,1.213567389E0,-1.315886062E0
2.676079583E-1,4.089476846E-1,1.496347217E0,-1.838909562E0
2.776549583E-1,6.274074090E-1,1.696544479E0,-2.037327223E0
2.877019583E-1,6.114262377E-1,1.799535289E0,-2.394772779E0
2.977489583E-1,4.658353919E-1,1.880316327E0,-2.630247170E0
3.077959583E-1,5.017253823E-1,1.720042099E0,-2.588692762E0
3.178429583E-1,5.273237615E-1,1.418278117E0,-2.419136957E0
3.278899583E-1,4.452058303E-1,1.103758141E0,-2.367523584E0
3.379369583E-1,7.555731867E-1,7.880856791E-1,-1.508761733E0
3.479839583E-1,9.974033549E-1,2.908855301E-1,1.773589146E-1
3.580309583E-1,1.234334360E0,1.178281197E-1,1.198829482E0
