"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.620602608E-2,6.501131821E1,2.546682234E1,1.543334961E1,NaN,NaN,3.500000000E1,1.873860741E1
1.620602608E-2,6.501131640E1,2.546682008E1,1.543605328E1,NaN,NaN,3.500000000E1,1.589301872E1
5.516990066E0,6.501146605E1,2.546695593E1,1.556635380E1,NaN,NaN,1.186099375E2,1.901748085E1
6.468166828E0,6.501125111E1,2.546700102E1,1.645410421E1,1.897015572E0,NaN,3.739250941E1,4.809501781E1
7.468182087E0,6.501118689E1,2.546698591E1,1.809694315E1,7.530844212E-1,NaN,3.890333310E1,5.350750406E1
8.418196201E0,6.501118355E1,2.546695611E1,1.211676121E1,7.530844212E-1,NaN,2.386255873E1,3.990201750E1
9.368211150E0,6.501117387E1,2.546698154E1,8.365402051E0,9.495987296E-1,2.333428725E1,1.999176381E1,3.698096357E1
1.031787455E1,6.501114661E1,2.546701338E1,2.216908609E0,9.495987296E-1,1.447477044E1,1.750729103E1,3.601453970E1
1.126641977E1,6.501115567E1,2.546701739E1,2.984654138E0,9.495987296E-1,2.570955648E1,2.110848341E1,4.813858727E1
1.221477795E1,6.501114527E1,2.546703927E1,-4.513580241E0,1.273828983E0,3.397672357E1,1.460280269E1,3.401709555E1
1.316313469E1,6.501114533E1,2.546704043E1,-5.821353158E0,1.478651285E0,3.556779676E1,2.098122932E1,5.174760378E1
1.411158001E1,6.501113978E1,2.546705288E1,-7.959922182E0,1.181494355E0,3.981066428E1,2.049879406E1,4.827921491E1
1.506010962E1,6.501114120E1,2.546704168E1,-7.635281008E0,1.181494355E0,3.275773707E1,2.534150102E1,6.259960272E1
1.602871311E1,6.501115089E1,2.546702514E1,-6.577667186E0,1.012357116E0,2.328341236E1,2.083430363E1,5.194805301E1
1.702735722E1,6.501115923E1,2.546703363E1,-6.714153091E0,1.012357116E0,2.328342005E1,2.083430363E1,5.194805301E1
1.802605045E1,6.501117284E1,2.546702316E1,-6.872304950E0,1.012357116E0,2.371450077E1,1.993973014E1,4.181745544E1
1.902486873E1,6.501117670E1,2.546702887E1,-7.355868567E0,1.020826578E0,2.965051466E1,2.103843606E1,4.195639043E1
